id_cliente,idade,anos_experiencia,estado_civil,grau_instrucao,historico_credito,area_cultivo_hectares,tipo_propriedade,valor_propriedade,regiao,clima_regiao,renda_anual,renda_mensal,dividas_totais,percentual_renda_comprometida,produtividade_toneladas_por_hectare,tipo_cultura,preco_medio_produto,possui_financiamento_ativo,valor_emprestimo,taxa_juros,prazo_pagamento_meses,percentual_garantia,valor_colateral,dias_atraso,quantidade_parcelas_atrasadas,valor_total_atrasado,tempo_desde_ultimo_atraso
1,63,14,Casado,Superior,Ruim,402.75114143398866,Comunitária,992168.0267204853,Nordeste,Temperado,274587.5654531049,22882.297121092077,357813.2797026096,0.3237695103611022,4.59965912125544,Milho,328.19384133724736,True,113232.34583869745,0.04647432334602607,60,0.7544600903763896,85429.28587499428,223,6,<function <lambda> at 0x000002BD7034CB80>,31
2,53,26,Viúvo,Superior,Ruim,451.3781441303832,Própria,4590241.929533071,Centro-Oeste,Árido,56394.35975497926,4699.529979581605,275457.91013817023,0.07742207268626201,4.809940543202744,Café,695.5326215997277,True,64568.20203316715,0.10371973397196156,110,0.2114627643618417,13653.770491807412,42,8,<function <lambda> at 0x000002BD7034CB80>,7
3,39,4,Casado,Fundamental,Bom,105.71900753630995,Comunitária,2790114.736678672,Sudeste,Temperado,1385484.268924634,115457.02241038617,807210.9964254175,0.3159116686399416,6.635615076320632,Algodão,349.7147461581127,True,473001.0966695239,0.14928566354867262,26,0.4597179120031008,217447.07653609038,180,8,<function <lambda> at 0x000002BD7034CB80>,22
4,67,25,Casado,Médio,Bom,38.15193795250941,Arrendada,1531198.4212902498,Norte,Árido,616755.7556173912,51396.31296811593,366993.26708194736,0.23744211802003118,3.5811615626968583,Trigo,802.8765977683927,True,355951.8712206526,0.02156119120095434,64,0.45523522508293013,162041.83021382394,168,9,<function <lambda> at 0x000002BD7034CB80>,37
5,32,42,Viúvo,Fundamental,Ruim,439.2884743007551,Comunitária,2182748.46314224,Centro-Oeste,Tropical,1259448.149557548,104954.01246312901,317000.96973430394,0.10821358096899114,9.723242249402578,Trigo,173.93081281849277,True,370830.4443590443,0.09031957572734883,39,0.7990682287173736,296318.8263284581,263,11,<function <lambda> at 0x000002BD7034CB80>,29
6,45,25,Casado,Fundamental,Bom,197.75544479454328,Comunitária,1595349.8247426203,Nordeste,Árido,318078.2843632049,26506.523696933742,849987.5931690104,0.5049094344372739,6.478157985431508,Soja,774.5518619318781,True,249702.28069012228,0.09457665768137127,102,0.4516456928205023,112776.95956114981,95,11,<function <lambda> at 0x000002BD7034CB80>,14
7,63,18,Divorciado,Fundamental,Bom,273.1716773124438,Comunitária,3639300.2416699147,Sudeste,Tropical,948699.2923986065,79058.27436655054,846287.3364864602,0.00661706909948172,4.594614928670202,Milho,114.93412910803792,True,237363.8926352417,0.13884714265850553,63,0.7066617058920663,167735.9732868012,202,4,<function <lambda> at 0x000002BD7034CB80>,9
8,43,40,Solteiro,Médio,Bom,484.1925769651257,Arrendada,3991688.283904904,Sul,Árido,1018760.997205605,84896.74976713375,356366.6377550566,0.18727696612686356,6.805088339424106,Soja,61.962982034120046,False,55010.62149573832,0.08578069351970188,53,0.7508195216862918,41303.04851909589,320,9,<function <lambda> at 0x000002BD7034CB80>,54
9,47,8,Solteiro,Médio,Ruim,37.94954031754031,Própria,4173040.0919773723,Centro-Oeste,Árido,1178454.076418968,98204.50636824733,832498.7009859663,0.007557022901656052,4.558645094767369,Café,903.312342890554,False,279920.54779199586,0.09068118455383928,59,0.7267404353576923,203429.5807679188,334,10,<function <lambda> at 0x000002BD7034CB80>,58
10,35,39,Solteiro,Superior,Bom,325.9174136887873,Arrendada,4929552.835449419,Sudeste,Temperado,1036076.6323345174,86339.71936120979,850778.4903326605,0.057604167903691626,8.36016112881477,Algodão,602.2722560856837,True,123458.24755439522,0.08131486417269052,23,0.6826349448389317,84276.91400920575,67,2,<function <lambda> at 0x000002BD7034CB80>,56
